START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
02/05/2014,7:30 PM,7:30 PM,Pittsburgh at Buffalo,First Niagara Center - Buffalo - NY,TSN2 / NBCSN,02/05/2014,02/05/2014,10:30 PM,10:30 PM,FALSE,TRUE,02/05/2014,6:30 PM,6:30 PM,FREE,BUSY
02/07/2014,7:00 PM,7:00 PM,Ny Rangers at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,MSG 2 /  ROOT,02/07/2014,02/07/2014,10:00 PM,10:00 PM,FALSE,TRUE,02/07/2014,6:00 PM,6:00 PM,FREE,BUSY
02/27/2014,7:00 PM,7:00 PM,Montreal at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,RDS /  TSN-HABS /  ROOT,02/27/2014,02/27/2014,10:00 PM,10:00 PM,FALSE,TRUE,02/27/2014,6:00 PM,6:00 PM,FREE,BUSY
03/01/2014,7:00 PM,8:00 PM,Pittsburgh at Chicago,United Center - Chicago - IL, ,03/01/2014,03/01/2014,10:00 PM,11:00 PM,FALSE,TRUE,03/01/2014,6:00 PM,7:00 PM,FREE,BUSY
03/04/2014,7:00 PM,8:00 PM,Pittsburgh at Nashville,Bridgestone Arena - Nashville - TN,ROOT /  FS-TN,03/04/2014,03/04/2014,10:00 PM,11:00 PM,FALSE,TRUE,03/04/2014,6:00 PM,7:00 PM,FREE,BUSY
03/06/2014,7:30 PM,10:30 PM,Pittsburgh at San Jose,SAP Center at San Jose - San Jose - CA,ROOT /  CSN-CA,03/06/2014,03/07/2014,10:30 PM,1:30 AM,FALSE,TRUE,03/06/2014,6:30 PM,9:30 PM,FREE,BUSY
03/07/2014,7:00 PM,10:00 PM,Pittsburgh at Anaheim,Honda Center - Anaheim - CA,ROOT /  PRIME,03/07/2014,03/08/2014,10:00 PM,1:00 AM,FALSE,TRUE,03/07/2014,6:00 PM,9:00 PM,FREE,BUSY
03/10/2014,7:00 PM,7:00 PM,Pittsburgh at Washington,Verizon Center - Washington - DC,NHLN-US /  ROOT /  CSN-DC,03/10/2014,03/10/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/10/2014,6:00 PM,6:00 PM,FREE,BUSY
03/11/2014,7:30 PM,7:30 PM,Washington at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN /  ROOT,03/11/2014,03/11/2014,10:30 PM,10:30 PM,FALSE,TRUE,03/11/2014,6:30 PM,6:30 PM,FREE,BUSY
03/15/2014,1:00 PM,1:00 PM,Pittsburgh at Philadelphia,Wells Fargo Center - Philadelphia - PA,NHLN-US /  ROOT /  CSN-PH,03/15/2014,03/15/2014,4:00 PM,4:00 PM,FALSE,TRUE,03/15/2014,12:00 PM,12:00 PM,FREE,BUSY
03/16/2014,7:30 PM,7:30 PM,Philadelphia at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NBC / TSN2 / NBCSN,03/16/2014,03/16/2014,10:30 PM,10:30 PM,FALSE,TRUE,03/16/2014,6:30 PM,6:30 PM,FREE,BUSY
03/18/2014,7:00 PM,7:00 PM,Dallas at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,FS-SW /  ROOT,03/18/2014,03/18/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/18/2014,6:00 PM,6:00 PM,FREE,BUSY
03/20/2014,7:30 PM,7:30 PM,Pittsburgh at Detroit,Joe Louis Arena - Detroit - MI,ROOT /  FS-D,03/20/2014,03/20/2014,10:30 PM,10:30 PM,FALSE,TRUE,03/20/2014,6:30 PM,6:30 PM,FREE,BUSY
03/22/2014,1:00 PM,1:00 PM,Tampa Bay at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,SUN /  ROOT,03/22/2014,03/22/2014,4:00 PM,4:00 PM,FALSE,TRUE,03/22/2014,12:00 PM,12:00 PM,FREE,BUSY
03/23/2014,1:00 PM,1:00 PM,St Louis at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NHLN-CA / NHLN-US /  FS-MW /  ROOT,03/23/2014,03/23/2014,4:00 PM,4:00 PM,FALSE,TRUE,03/23/2014,12:00 PM,12:00 PM,FREE,BUSY
