START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
05/16/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/16/13,05/16/13,10:05 PM,10:05 PM,FALSE,TRUE,05/16/13,06:05 PM,06:05 PM,FREE,BUSY
05/17/13,07:05 PM,07:05 PM,Astros at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/17/13,05/17/13,10:05 PM,10:05 PM,FALSE,TRUE,05/17/13,06:05 PM,06:05 PM,FREE,BUSY
05/18/13,07:05 PM,07:05 PM,Astros at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/18/13,05/18/13,10:05 PM,10:05 PM,FALSE,TRUE,05/18/13,06:05 PM,06:05 PM,FREE,BUSY
05/19/13,01:35 PM,01:35 PM,Astros at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/19/13,05/19/13,04:35 PM,04:35 PM,FALSE,TRUE,05/19/13,12:35 PM,12:35 PM,FREE,BUSY
05/21/13,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/21/13,05/21/13,10:05 PM,10:05 PM,FALSE,TRUE,05/21/13,06:05 PM,06:05 PM,FREE,BUSY
05/22/13,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/22/13,05/22/13,10:05 PM,10:05 PM,FALSE,TRUE,05/22/13,06:05 PM,06:05 PM,FREE,BUSY
05/23/13,12:35 PM,12:35 PM,Cubs at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/23/13,05/23/13,03:35 PM,03:35 PM,FALSE,TRUE,05/23/13,11:35 AM,11:35 AM,FREE,BUSY
05/29/13,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/29/13,05/29/13,10:05 PM,10:05 PM,FALSE,TRUE,05/29/13,06:05 PM,06:05 PM,FREE,BUSY
05/30/13,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/30/13,05/30/13,10:05 PM,10:05 PM,FALSE,TRUE,05/30/13,06:05 PM,06:05 PM,FREE,BUSY
05/31/13,07:05 PM,07:05 PM,Reds at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/31/13,05/31/13,10:05 PM,10:05 PM,FALSE,TRUE,05/31/13,06:05 PM,06:05 PM,FREE,BUSY
